team,stage,count
Scotland,Semi-final,0
Scotland,Final,0
Senegal,Round of 32,3548
Senegal,Group Stage,3164
Senegal,Third Place,481
Senegal,Round of 16,1636
Senegal,Winner,141
Senegal,Quarter-final,788
Senegal,Runner Up,242
Senegal,Semi-final,0
Senegal,Final,0
South Africa,Round of 32,2618
South Africa,Group Stage,6391
South Africa,Round of 16,679
South Africa,Quarter-final,209
South Africa,Third Place,81
South Africa,Runner Up,18
South Africa,Winner,4
South Africa,Semi-final,0
South Africa,Final,0
South Korea,Round of 32,4034
South Korea,Group Stage,2749
South Korea,Round of 16,1676
South Korea,Third Place,403
South Korea,Quarter-final,792
South Korea,Runner Up,211
South Korea,Winner,135
South Korea,Semi-final,0
South Korea,Final,0
Spain,Runner Up,569
Spain,Round of 16,2503
Spain,Round of 32,2548
Spain,Winner,1119
Spain,Quarter-final,1782
Spain,Group Stage,386
Spain,Third Place,1093
Spain,Semi-final,0
Spain,Final,0
Sweden,Round of 32,2859
Sweden,Group Stage,5000
Sweden,Round of 16,1410
Sweden,Runner Up,61
Sweden,Quarter-final,452
Sweden,Third Place,183
Sweden,Winner,35
Sweden,Semi-final,0
Sweden,Final,0
Switzerland,Round of 16,2372
Switzerland,Round of 32,4689
Switzerland,Group Stage,988
Switzerland,Third Place,540
Switzerland,Quarter-final,920
Switzerland,Winner,230
Switzerland,Runner Up,261
Switzerland,Semi-final,0
Switzerland,Final,0
Tunisia,Group Stage,4837
Tunisia,Round of 16,1331
Tunisia,Round of 32,3148
Tunisia,Quarter-final,420
Tunisia,Winner,31
Tunisia,Third Place,193
Tunisia,Runner Up,40
Tunisia,Semi-final,0
Tunisia,Final,0
Turkey,Round of 32,3691
Turkey,Quarter-final,988
Turkey,Winner,249
Turkey,Round of 16,2254
Turkey,Group Stage,2109
Turkey,Third Place,457
Turkey,Runner Up,252
Turkey,Semi-final,0
Turkey,Final,0
United States,Group Stage,3110
United States,Round of 16,1787
United States,Round of 32,4067
United States,Quarter-final,652
United States,Third Place,219
United States,Winner,65
United States,Runner Up,100
United States,Semi-final,0
United States,Final,0
Uruguay,Round of 32,3442
Uruguay,Third Place,660
Uruguay,Group Stage,1717
Uruguay,Quarter-final,1345
Uruguay,Round of 16,2323
Uruguay,Winner,243
Uruguay,Runner Up,270
Uruguay,Semi-final,0
Uruguay,Final,0
Uzbekistan,Group Stage,4643
Uzbekistan,Round of 16,1213
Uzbekistan,Round of 32,3118
Uzbekistan,Quarter-final,667
Uzbekistan,Runner Up,98
Uzbekistan,Third Place,213
Uzbekistan,Winner,48
Uzbekistan,Semi-final,0
Uzbekistan,Final,0
